
Code       Project                                      Count
----       -------                                      -----
CA1416     ShareX.Avalonia.Common.csproj                  466
CA1416     ShareX.Avalonia.Media.csproj                     4
CA1416     ShareX.Avalonia.Platform.Abstractions.csproj     2
CA1416     ShareX.Avalonia.ScreenCapture.csproj             8
CA1416     ShareX.Avalonia.Uploaders.csproj                 4
CA2022     ShareX.Avalonia.Common.csproj                    2
CS0067     ShareX.Avalonia.Core.csproj                      2
CS0067     ShareX.Avalonia.Platform.Linux.csproj            2
CS0067     ShareX.Avalonia.Platform.MacOS.csproj            2
CS0067     ShareX.Avalonia.Platform.Windows.csproj          2
CS0105     ShareX.Avalonia.Platform.Windows.csproj          4
CS0105     XerahS.CLI.csproj                                2
CS0108     ShareX.Avalonia.Uploaders.csproj                 2
CS0162     ShareX.Avalonia.UI.csproj                        2
CS0169     ShareX.Avalonia.UI.csproj                        2
CS0219     ShareX.Avalonia.Uploaders.csproj                 2
CS0414     ShareX.Avalonia.Common.csproj                    2
CS0414     ShareX.Avalonia.UI.csproj                        2
CS0465     ShareX.Avalonia.Platform.Windows.csproj          2
CS0465     ShareX.Avalonia.ScreenCapture.csproj             2
CS0618     ShareX.Avalonia.Core.csproj                      2
CS0618     ShareX.Avalonia.UI.csproj                       14
CS0649     ShareX.Avalonia.UI.csproj                        6
CS8123     ShareX.Avalonia.Core.csproj                      2
CS8600     ShareX.Avalonia.Common.csproj                  130
CS8600     ShareX.Avalonia.Core.csproj                      2
CS8600     ShareX.Avalonia.History.csproj                   6
CS8600     ShareX.Avalonia.Indexer.csproj                   2
CS8600     ShareX.Avalonia.Media.csproj                     6
CS8600     ShareX.Avalonia.Uploaders.csproj                82
CS8601     ShareX.AmazonS3.Plugin.csproj                    4
CS8601     ShareX.Avalonia.Common.csproj                    8
CS8601     ShareX.Avalonia.Core.csproj                      6
CS8601     ShareX.Avalonia.History.csproj                  36
CS8601     ShareX.Avalonia.UI.csproj                        2
CS8601     ShareX.Avalonia.Uploaders.csproj                18
CS8601     XerahS.CLI.csproj                                2
CS8602     ShareX.AmazonS3.Plugin.csproj                    6
CS8602     ShareX.Avalonia.Common.csproj                   20
CS8602     ShareX.Avalonia.Core.csproj                     12
CS8602     ShareX.Avalonia.Indexer.csproj                   2
CS8602     ShareX.Avalonia.Media.csproj                     4
CS8602     ShareX.Avalonia.Platform.Windows.csproj          4
CS8602     ShareX.Avalonia.UI.csproj                       18
CS8602     ShareX.Avalonia.Uploaders.csproj                22
CS8603     ShareX.AmazonS3.Plugin.csproj                    2
CS8603     ShareX.Avalonia.Common.csproj                  144
CS8603     ShareX.Avalonia.History.csproj                   8
CS8603     ShareX.Avalonia.Media.csproj                     6
CS8603     ShareX.Avalonia.UI.csproj                        2
CS8603     ShareX.Avalonia.Uploaders.csproj                92
CS8603     ShareX.Imgur.Plugin.csproj                       2
CS8604     ShareX.Avalonia.Common.csproj                   30
CS8604     ShareX.Avalonia.Core.csproj                      4
CS8604     ShareX.Avalonia.History.csproj                   4
CS8604     ShareX.Avalonia.Media.csproj                     2
CS8604     ShareX.Avalonia.Platform.Windows.csproj          2
CS8604     ShareX.Avalonia.UI.csproj                        4
CS8604     ShareX.Avalonia.Uploaders.csproj                12
CS8604     ShareX.Imgur.Plugin.csproj                       2
CS8604     XerahS.CLI.csproj                                2
CS8605     ShareX.Avalonia.Common.csproj                    6
CS8605     ShareX.Avalonia.History.csproj                   2
CS8618     ShareX.Avalonia.Common.csproj                   74
CS8618     ShareX.Avalonia.Core.csproj                     22
CS8618     ShareX.Avalonia.History.csproj                  22
CS8618     ShareX.Avalonia.Indexer.csproj                   6
CS8618     ShareX.Avalonia.Media.csproj                    26
CS8618     ShareX.Avalonia.UI.csproj                       26
CS8618     ShareX.Avalonia.Uploaders.csproj               326
CS8625     ShareX.AmazonS3.Plugin.csproj                    2
CS8625     ShareX.Avalonia.Common.csproj                   26
CS8625     ShareX.Avalonia.History.csproj                   2
CS8625     ShareX.Avalonia.Indexer.csproj                   2
CS8625     ShareX.Avalonia.Platform.Windows.csproj          2
CS8625     ShareX.Avalonia.UI.csproj                        2
CS8625     ShareX.Avalonia.Uploaders.csproj               196
CS8714     ShareX.Avalonia.Uploaders.csproj                 4
CS8765     ShareX.Avalonia.Common.csproj                   70
CS8767     ShareX.Avalonia.Common.csproj                    4
CS9191     ShareX.Avalonia.Platform.Windows.csproj          2
SYSLIB0013 ShareX.Avalonia.Common.csproj                    2
SYSLIB0060 ShareX.Avalonia.Uploaders.csproj                 2
WFDEV005   ShareX.Avalonia.Platform.Windows.csproj          2



